epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,3542.84,1.40385,1.43138,1.60068,0.63916,0.65306,0.68704,0.37533,1.57785,1.39692,1.77694,0.00087922,0.00087922,0.00087922
63,3604.18,1.36057,1.34054,1.57641,0.52786,0.59628,0.59556,0.27891,1.76667,1.60677,1.8827,0.00087724,0.00087724,0.00087724
64,3657.9,1.3654,1.35921,1.56132,0.63343,0.65288,0.70494,0.38528,1.59629,1.32865,1.76066,0.00087526,0.00087526,0.00087526
65,3716.19,1.34608,1.32654,1.55701,0.77934,0.57178,0.69169,0.37024,1.57977,1.37029,1.74989,0.00087328,0.00087328,0.00087328
66,3770.01,1.36079,1.35825,1.5635,0.61259,0.64659,0.67094,0.36399,1.57982,1.40027,1.75223,0.0008713,0.0008713,0.0008713
67,3823.22,1.34579,1.31068,1.54376,0.61474,0.63016,0.67552,0.35929,1.63043,1.38756,1.78513,0.00086932,0.00086932,0.00086932
68,3876.25,1.3372,1.31123,1.5541,0.65802,0.62232,0.68332,0.37031,1.55924,1.33881,1.78461,0.00086734,0.00086734,0.00086734
69,3929.83,1.33302,1.30529,1.55553,0.62301,0.63337,0.68321,0.37519,1.56278,1.34434,1.76254,0.00086536,0.00086536,0.00086536
70,3982.68,1.29348,1.25808,1.51809,0.63684,0.6385,0.67908,0.36463,1.61883,1.36704,1.78211,0.00086338,0.00086338,0.00086338
71,4038.09,1.32303,1.27379,1.53958,0.59475,0.67046,0.65914,0.3486,1.64908,1.37002,1.81025,0.0008614,0.0008614,0.0008614
72,4093.19,1.32638,1.29844,1.54486,0.60592,0.57211,0.6099,0.32913,1.6439,1.50495,1.83755,0.00085942,0.00085942,0.00085942
73,4147.08,1.33285,1.28596,1.5412,0.60347,0.60931,0.63463,0.34863,1.64446,1.40616,1.81739,0.00085744,0.00085744,0.00085744
74,4201.02,1.30769,1.25304,1.51555,0.63842,0.62147,0.6577,0.35025,1.62332,1.39871,1.79143,0.00085546,0.00085546,0.00085546
75,4254.83,1.34317,1.28422,1.55251,0.638,0.6327,0.67662,0.35731,1.63052,1.35651,1.80332,0.00085348,0.00085348,0.00085348
76,4311.78,1.33542,1.31834,1.55086,0.58348,0.646,0.67079,0.36141,1.603,1.4044,1.80366,0.0008515,0.0008515,0.0008515
77,4368.68,1.33773,1.29747,1.53088,0.67019,0.59162,0.63143,0.33829,1.64411,1.43164,1.80185,0.00084952,0.00084952,0.00084952
78,4423.07,1.2965,1.26074,1.52279,0.62651,0.67578,0.6942,0.37806,1.58791,1.34643,1.76793,0.00084754,0.00084754,0.00084754
79,4476.77,1.3055,1.27825,1.5319,0.62073,0.63606,0.67517,0.35722,1.62038,1.36122,1.80124,0.00084556,0.00084556,0.00084556
80,4530.37,1.31643,1.25889,1.54011,0.63595,0.65546,0.68018,0.3764,1.57914,1.35454,1.76529,0.00084358,0.00084358,0.00084358
81,4584.34,1.30959,1.23976,1.50859,0.63209,0.67859,0.68681,0.3743,1.594,1.35574,1.76922,0.0008416,0.0008416,0.0008416
82,4637.47,1.29272,1.23712,1.50886,0.61849,0.62691,0.65503,0.36232,1.57467,1.37678,1.78325,0.00083962,0.00083962,0.00083962
83,4691.28,1.31037,1.24574,1.51713,0.58729,0.68556,0.68262,0.38234,1.55584,1.31522,1.75556,0.00083764,0.00083764,0.00083764
84,4750.76,1.30041,1.24144,1.53421,0.63977,0.64728,0.67907,0.36857,1.58704,1.32555,1.78384,0.00083566,0.00083566,0.00083566
85,4804.53,1.28566,1.22374,1.50842,0.60769,0.63583,0.65829,0.35538,1.59028,1.3835,1.77663,0.00083368,0.00083368,0.00083368
86,4858.42,1.30154,1.25067,1.53031,0.59612,0.66898,0.68945,0.37866,1.57898,1.30249,1.79443,0.0008317,0.0008317,0.0008317
87,4912.18,1.29153,1.2362,1.51928,0.6511,0.65051,0.68569,0.36451,1.6689,1.3793,1.84147,0.00082972,0.00082972,0.00082972
88,4967.8,1.31356,1.23353,1.52063,0.64212,0.68303,0.69834,0.38424,1.56455,1.31622,1.75871,0.00082774,0.00082774,0.00082774
89,5022.27,1.29676,1.22417,1.52055,0.66867,0.64062,0.68915,0.37365,1.58082,1.32072,1.74814,0.00082576,0.00082576,0.00082576
90,5076.73,1.2724,1.19089,1.49883,0.60957,0.63527,0.66562,0.36282,1.63715,1.34635,1.78255,0.00082378,0.00082378,0.00082378
91,5130.7,1.27397,1.21725,1.49745,0.61634,0.65645,0.68049,0.37372,1.61745,1.30052,1.77893,0.0008218,0.0008218,0.0008218
92,5184.46,1.29311,1.23781,1.51368,0.60316,0.68936,0.69582,0.3779,1.56085,1.31712,1.76519,0.00081982,0.00081982,0.00081982
93,5241.57,1.27474,1.21483,1.50421,0.6305,0.66266,0.69028,0.37699,1.58779,1.32067,1.7964,0.00081784,0.00081784,0.00081784
94,5298.05,1.26095,1.20635,1.49582,0.67028,0.64958,0.68852,0.37286,1.60162,1.37865,1.77812,0.00081586,0.00081586,0.00081586
95,5357.03,1.26848,1.18894,1.50082,0.61486,0.66446,0.68856,0.38046,1.58016,1.2884,1.78076,0.00081388,0.00081388,0.00081388
96,5409.94,1.24972,1.1819,1.48544,0.64649,0.67929,0.71385,0.39567,1.57632,1.29021,1.778,0.0008119,0.0008119,0.0008119
97,5476.6,1.28035,1.18821,1.49802,0.6554,0.67262,0.69888,0.38812,1.57072,1.29631,1.78407,0.00080992,0.00080992,0.00080992
98,5529.18,1.23812,1.16369,1.48703,0.64383,0.66721,0.69949,0.38498,1.57307,1.26701,1.78486,0.00080794,0.00080794,0.00080794
99,5582.33,1.24085,1.1736,1.47994,0.66243,0.68426,0.71435,0.40891,1.52589,1.25528,1.75239,0.00080596,0.00080596,0.00080596
100,5640.97,1.27547,1.20079,1.49419,0.66444,0.6443,0.69759,0.38689,1.593,1.2715,1.78508,0.00080398,0.00080398,0.00080398
101,5693.86,1.25611,1.15198,1.47312,0.65191,0.66555,0.69652,0.37586,1.60378,1.34604,1.7858,0.000802,0.000802,0.000802
102,5747.32,1.22639,1.13149,1.46387,0.6571,0.66356,0.69502,0.3894,1.57134,1.26201,1.76927,0.00080002,0.00080002,0.00080002
103,5800.68,1.23003,1.12144,1.45644,0.69291,0.63582,0.699,0.39239,1.56004,1.25313,1.77991,0.00079804,0.00079804,0.00079804
104,5860.78,1.2349,1.13404,1.46319,0.68193,0.63801,0.70421,0.38302,1.61901,1.28002,1.82471,0.00079606,0.00079606,0.00079606
105,5914.24,1.23058,1.12184,1.4634,0.68635,0.67697,0.72364,0.40063,1.57467,1.22756,1.77032,0.00079408,0.00079408,0.00079408
106,5968.68,1.21728,1.12061,1.46058,0.64792,0.67731,0.71824,0.39797,1.60927,1.25802,1.80558,0.0007921,0.0007921,0.0007921
107,6021.92,1.21982,1.11548,1.4546,0.62812,0.65128,0.6858,0.36475,1.66737,1.3337,1.83074,0.00079012,0.00079012,0.00079012
108,6077.58,1.24295,1.15948,1.48282,0.67264,0.6771,0.71221,0.3866,1.61408,1.26803,1.80697,0.00078814,0.00078814,0.00078814
109,6131.18,1.22749,1.144,1.46378,0.68898,0.67472,0.71742,0.40806,1.54505,1.2418,1.76263,0.00078616,0.00078616,0.00078616
110,6183.55,1.22798,1.1252,1.45878,0.70771,0.6738,0.73283,0.40392,1.55147,1.21327,1.78555,0.00078418,0.00078418,0.00078418
111,6236.86,1.26238,1.17353,1.48549,0.67043,0.66598,0.71442,0.38564,1.58571,1.27097,1.81184,0.0007822,0.0007822,0.0007822
112,6290.48,1.23958,1.13963,1.46627,0.64911,0.62438,0.66416,0.34557,1.64407,1.38152,1.81344,0.00078022,0.00078022,0.00078022
113,6343.26,1.23122,1.10821,1.4536,0.7026,0.67472,0.72754,0.40261,1.56394,1.23274,1.77983,0.00077824,0.00077824,0.00077824
114,6396.63,1.21176,1.09638,1.45397,0.7,0.65365,0.70479,0.38852,1.60667,1.2581,1.82645,0.00077626,0.00077626,0.00077626
115,6451.38,1.1964,1.08473,1.4413,0.67535,0.66458,0.68843,0.37155,1.6346,1.31338,1.82299,0.00077428,0.00077428,0.00077428
116,6504.47,1.21686,1.14227,1.4449,0.64892,0.67927,0.70427,0.39057,1.62764,1.2508,1.82456,0.0007723,0.0007723,0.0007723
117,6557.43,1.20692,1.08538,1.4467,0.6762,0.64613,0.69388,0.39865,1.56218,1.25205,1.78184,0.00077032,0.00077032,0.00077032
